table,column,dataset_id,predicted_semantic_type
CityMaxCapita_1,column_23,CityMaxCapita_1+column_23,state
CMSprovider_1,column_13,CMSprovider_1+column_13,city
CMSprovider_1,column_14,CMSprovider_1+column_14,country
CMSprovider_1,column_16,CMSprovider_1+column_16,state
CMSprovider_2,column_13,CMSprovider_2+column_13,city
CMSprovider_2,column_14,CMSprovider_2+column_14,country
CMSprovider_2,column_16,CMSprovider_2+column_16,state
CommonGovernment_10,column_13,CommonGovernment_10+column_13,type
CommonGovernment_10,column_55,CommonGovernment_10+column_55,year
CommonGovernment_11,column_7,CommonGovernment_11+column_7,type
CommonGovernment_11,column_13,CommonGovernment_11+column_13,type
CommonGovernment_11,column_32,CommonGovernment_11+column_32,category
CommonGovernment_12,column_7,CommonGovernment_12+column_7,type
CommonGovernment_12,column_13,CommonGovernment_12+column_13,type
CommonGovernment_12,column_32,CommonGovernment_12+column_32,category
CommonGovernment_12,column_55,CommonGovernment_12+column_55,year
CommonGovernment_13,column_7,CommonGovernment_13+column_7,type
CommonGovernment_13,column_13,CommonGovernment_13+column_13,type
CommonGovernment_13,column_32,CommonGovernment_13+column_32,category
CommonGovernment_13,column_55,CommonGovernment_13+column_55,year
CommonGovernment_1,column_7,CommonGovernment_1+column_7,type
CommonGovernment_1,column_13,CommonGovernment_1+column_13,type
CommonGovernment_1,column_32,CommonGovernment_1+column_32,category
CommonGovernment_1,column_55,CommonGovernment_1+column_55,year
CommonGovernment_2,column_7,CommonGovernment_2+column_7,type
CommonGovernment_2,column_13,CommonGovernment_2+column_13,type
CommonGovernment_2,column_32,CommonGovernment_2+column_32,category
CommonGovernment_2,column_55,CommonGovernment_2+column_55,year
CommonGovernment_3,column_7,CommonGovernment_3+column_7,type
CommonGovernment_3,column_13,CommonGovernment_3+column_13,type
CommonGovernment_3,column_55,CommonGovernment_3+column_55,year
CommonGovernment_4,column_7,CommonGovernment_4+column_7,type
CommonGovernment_4,column_13,CommonGovernment_4+column_13,type
CommonGovernment_4,column_55,CommonGovernment_4+column_55,year
CommonGovernment_5,column_32,CommonGovernment_5+column_32,category
CommonGovernment_5,column_55,CommonGovernment_5+column_55,year
CommonGovernment_6,column_7,CommonGovernment_6+column_7,type
CommonGovernment_6,column_13,CommonGovernment_6+column_13,type
CommonGovernment_6,column_55,CommonGovernment_6+column_55,year
CommonGovernment_7,column_7,CommonGovernment_7+column_7,type
CommonGovernment_7,column_32,CommonGovernment_7+column_32,category
CommonGovernment_7,column_55,CommonGovernment_7+column_55,year
CommonGovernment_8,column_7,CommonGovernment_8+column_7,type
CommonGovernment_8,column_13,CommonGovernment_8+column_13,type
CommonGovernment_9,column_7,CommonGovernment_9+column_7,type
CommonGovernment_9,column_55,CommonGovernment_9+column_55,year
Corporations_1,column_17,Corporations_1+column_17,address
Corporations_1,column_22,Corporations_1+column_22,address
HashTags_1,column_29,HashTags_1+column_29,address
HashTags_1,column_37,HashTags_1+column_37,address
HashTags_1,column_38,HashTags_1+column_38,address
HashTags_1,column_41,HashTags_1+column_41,address
Hatred_1,column_10,Hatred_1+column_10,gender
Hatred_1,column_24,Hatred_1+column_24,state
Hatred_1,column_25,Hatred_1+column_25,state
IGlocations2_1,column_3,IGlocations2_1+column_3,country
IGlocations2_2,column_3,IGlocations2_2+column_3,country
Medicare1_1,column_12,Medicare1_1+column_12,city
Medicare1_1,column_15,Medicare1_1+column_15,state
Medicare1_2,column_15,Medicare1_2+column_15,state
Medicare2_1,column_6,Medicare2_1+column_6,code
Medicare2_1,column_7,Medicare2_1+column_7,description
Medicare2_1,column_13,Medicare2_1+column_13,city
Medicare2_1,column_14,Medicare2_1+column_14,country
Medicare2_1,column_19,Medicare2_1+column_19,state
Medicare2_2,column_6,Medicare2_2+column_6,code
Medicare2_2,column_13,Medicare2_2+column_13,city
Medicare2_2,column_14,Medicare2_2+column_14,country
Medicare2_2,column_19,Medicare2_2+column_19,state
Medicare3_1,column_13,Medicare3_1+column_13,city
Medicare3_1,column_19,Medicare3_1+column_19,state
MedPayment1_1,column_7,MedPayment1_1+column_7,description
MedPayment1_1,column_14,MedPayment1_1+column_14,country
MedPayment1_1,column_19,MedPayment1_1+column_19,state
MedPayment2_1,column_7,MedPayment2_1+column_7,description
MedPayment2_1,column_13,MedPayment2_1+column_13,city
MedPayment2_1,column_19,MedPayment2_1+column_19,state
MLB_10,column_30,MLB_10+column_30,position
MLB_11,column_29,MLB_11+column_29,team
MLB_12,column_37,MLB_12+column_37,team
MLB_13,column_45,MLB_13+column_45,year
MLB_15,column_56,MLB_15+column_56,team
MLB_15,column_65,MLB_15+column_65,year
MLB_16,column_58,MLB_16+column_58,team
MLB_16,column_65,MLB_16+column_65,year
MLB_17,column_56,MLB_17+column_56,team
MLB_17,column_58,MLB_17+column_58,team
MLB_17,column_65,MLB_17+column_65,year
MLB_18,column_56,MLB_18+column_56,team
MLB_18,column_58,MLB_18+column_58,team
MLB_18,column_65,MLB_18+column_65,year
MLB_19,column_58,MLB_19+column_58,year
MLB_1,column_37,MLB_1+column_37,team
MLB_1,column_45,MLB_1+column_45,year
MLB_20,column_58,MLB_20+column_58,year
MLB_21,column_50,MLB_21+column_50,team
MLB_21,column_58,MLB_21+column_58,year
MLB_22,column_51,MLB_22+column_51,team
MLB_22,column_58,MLB_22+column_58,year
MLB_23,column_51,MLB_23+column_51,team
MLB_24,column_51,MLB_24+column_51,team
