table,column,dataset_id,already_labeled,semanticType,cluster_label,predicted_type
CityMaxCapita_1,column_10,CityMaxCapita_1+column_10,True,gender,34,gender
CityMaxCapita_1,column_14,CityMaxCapita_1+column_14,True,language,41,language
CityMaxCapita_1,column_23,CityMaxCapita_1+column_23,True,state,21,state
CMSprovider_1,column_6,CMSprovider_1+column_6,True,description,37,description
CMSprovider_2,column_16,CMSprovider_2+column_16,True,state,21,state
CMSprovider_2,column_21,CMSprovider_2+column_21,True,service,143,service
CommonGovernment_11,column_7,CommonGovernment_11+column_7,True,code,82,code
CommonGovernment_11,column_33,CommonGovernment_11+column_33,True,category,104,category
CommonGovernment_12,column_15,CommonGovernment_12+column_15,True,state,178,state
CommonGovernment_12,column_33,CommonGovernment_12+column_33,True,category,104,category
CommonGovernment_13,column_33,CommonGovernment_13+column_33,True,category,104,category
CommonGovernment_3,column_13,CommonGovernment_3+column_13,True,type,82,type
CommonGovernment_3,column_28,CommonGovernment_3+column_28,True,name,10,name
CommonGovernment_4,column_35,CommonGovernment_4+column_35,True,name,30,name
CommonGovernment_5,column_49,CommonGovernment_5+column_49,True,name,99,name
CommonGovernment_6,column_32,CommonGovernment_6+column_32,True,category,38,category
CommonGovernment_6,column_34,CommonGovernment_6+column_34,True,code,96,code
CommonGovernment_7,column_43,CommonGovernment_7+column_43,True,code,81,code
CommonGovernment_8,column_33,CommonGovernment_8+column_33,True,category,104,category
CommonGovernment_9,column_6,CommonGovernment_9+column_6,True,type,84,type
CommonGovernment_9,column_13,CommonGovernment_9+column_13,True,type,82,type
CommonGovernment_9,column_55,CommonGovernment_9+column_55,True,year,9,year
Corporations_1,column_5,Corporations_1+column_5,True,continent,2,continent
HashTags_1,column_4,HashTags_1+column_4,True,language,41,language
HashTags_1,column_37,HashTags_1+column_37,True,country,2,country
Hatred_1,column_22,Hatred_1+column_22,True,region,45,region
IUBLibrary_1,column_12,IUBLibrary_1+column_12,True,language,157,language
Medicare1_1,column_7,Medicare1_1+column_7,True,description,106,description
Medicare1_1,column_20,Medicare1_1+column_20,True,day,111,day
Medicare2_1,column_20,Medicare2_1+column_20,True,address,198,address
Medicare2_2,column_14,Medicare2_2+column_14,True,country,95,country
Medicare2_2,column_17,Medicare2_2+column_17,True,organisation,92,organisation
Medicare3_1,column_14,Medicare3_1+column_14,True,country,95,country
Medicare3_1,column_16,Medicare3_1+column_16,True,gender,162,gender
MedPayment1_1,column_7,MedPayment1_1+column_7,True,description,117,description
MedPayment2_1,column_17,MedPayment2_1+column_17,True,organisation,92,organisation
MLB_10,column_29,MLB_10+column_29,True,team,0,team
MLB_10,column_30,MLB_10+column_30,True,position,6,position
MLB_16,column_58,MLB_16+column_58,True,team,0,team
MLB_24,column_51,MLB_24+column_51,True,team,0,team
MLB_29,column_58,MLB_29+column_58,True,year,9,year
MLB_2,column_9,MLB_2+column_9,True,team,50,team
MLB_30,column_58,MLB_30+column_58,True,year,9,year
MLB_31,column_57,MLB_31+column_57,True,year,9,year
MLB_36,column_52,MLB_36+column_52,True,teamName,172,teamName
MLB_39,column_41,MLB_39+column_41,True,teamName,27,teamName
MLB_3,column_6,MLB_3+column_6,True,day,8,day
MLB_41,column_50,MLB_41+column_50,True,teamName,200,teamName
MLB_56,column_58,MLB_56+column_58,True,teamName,199,teamName
MLB_56,column_63,MLB_56+column_63,True,year,9,year
MLB_6,column_11,MLB_6+column_11,True,day,33,day
MLB_64,column_56,MLB_64+column_56,True,team,0,team
MLB_66,column_12,MLB_66+column_12,True,day,33,day
MLB_66,column_24,MLB_66+column_24,True,position,6,position
MLB_67,column_5,MLB_67+column_5,True,name,1,name
MLB_67,column_6,MLB_67+column_6,True,day,8,day
MLB_8,column_32,MLB_8+column_32,True,teamName,55,teamName
MLB_9,column_30,MLB_9+column_30,True,position,6,position
MulheresMil_1,column_63,MulheresMil_1+column_63,True,sex,163,sex
NYC_1,column_2,NYC_1+column_2,True,organisation,74,organisation
NYC_1,column_10,NYC_1+column_10,True,type,116,type
NYC_1,column_27,NYC_1+column_27,True,location,159,location
NYC_1,column_46,NYC_1+column_46,True,status,139,status
NYC_2,column_2,NYC_2+column_2,True,organisation,74,organisation
NYC_2,column_5,NYC_2+column_5,True,name,2,name
NYC_2,column_35,NYC_2+column_35,True,address,132,address
NYC_2,column_42,NYC_2+column_42,True,region,132,region
Physicians_1,column_24,Physicians_1+column_24,True,type,109,type
Provider_1,column_16,Provider_1+column_16,True,gender,162,gender
Provider_1,column_19,Provider_1+column_19,True,state,21,state
Provider_2,column_14,Provider_2+column_14,True,country,95,country
Provider_3,column_7,Provider_3+column_7,True,description,117,description
Provider_8,column_19,Provider_8+column_19,True,state,21,state
RealEstate1_1,column_7,RealEstate1_1+column_7,True,location,148,location
RealEstate1_2,column_0,RealEstate1_2+column_0,True,address,88,address
RealEstate1_2,column_1,RealEstate1_2+column_1,True,address,2,address
RealEstate2_1,column_2,RealEstate2_1+column_2,True,county,61,county
RealEstate2_1,column_8,RealEstate2_1+column_8,True,location,62,location
RealEstate2_1,column_26,RealEstate2_1+column_26,True,city,196,city
RealEstate2_2,column_2,RealEstate2_2+column_2,True,county,61,county
RealEstate2_2,column_3,RealEstate2_2+column_3,True,county,61,county
RealEstate2_2,column_6,RealEstate2_2+column_6,True,duration,138,duration
RealEstate2_2,column_8,RealEstate2_2+column_8,True,location,62,location
RealEstate2_3,column_14,RealEstate2_3+column_14,True,region,18,region
