table,column,dataset_id,predicted_semantic_type
CityMaxCapita_1,column_10,CityMaxCapita_1+column_10,gender
CommonGovernment_1,column_16,CommonGovernment_1+column_16,code
CommonGovernment_1,column_55,CommonGovernment_1+column_55,year
CommonGovernment_10,column_22,CommonGovernment_10+column_22,description
CommonGovernment_10,column_55,CommonGovernment_10+column_55,year
CommonGovernment_11,column_16,CommonGovernment_11+column_16,code
CommonGovernment_11,column_22,CommonGovernment_11+column_22,description
CommonGovernment_11,column_55,CommonGovernment_11+column_55,year
CommonGovernment_12,column_16,CommonGovernment_12+column_16,code
CommonGovernment_12,column_22,CommonGovernment_12+column_22,description
CommonGovernment_2,column_16,CommonGovernment_2+column_16,code
CommonGovernment_2,column_22,CommonGovernment_2+column_22,description
CommonGovernment_2,column_55,CommonGovernment_2+column_55,year
CommonGovernment_3,column_16,CommonGovernment_3+column_16,code
CommonGovernment_4,column_16,CommonGovernment_4+column_16,code
CommonGovernment_4,column_22,CommonGovernment_4+column_22,description
CommonGovernment_4,column_55,CommonGovernment_4+column_55,year
CommonGovernment_5,column_16,CommonGovernment_5+column_16,code
CommonGovernment_5,column_22,CommonGovernment_5+column_22,description
CommonGovernment_5,column_55,CommonGovernment_5+column_55,year
CommonGovernment_6,column_16,CommonGovernment_6+column_16,code
CommonGovernment_6,column_22,CommonGovernment_6+column_22,description
CommonGovernment_6,column_55,CommonGovernment_6+column_55,year
CommonGovernment_7,column_16,CommonGovernment_7+column_16,code
CommonGovernment_7,column_22,CommonGovernment_7+column_22,description
CommonGovernment_7,column_55,CommonGovernment_7+column_55,year
CommonGovernment_8,column_16,CommonGovernment_8+column_16,code
CommonGovernment_8,column_22,CommonGovernment_8+column_22,description
CommonGovernment_9,column_16,CommonGovernment_9+column_16,code
CommonGovernment_9,column_22,CommonGovernment_9+column_22,description
CommonGovernment_9,column_55,CommonGovernment_9+column_55,year
Corporations_1,column_6,Corporations_1+column_6,country
Corporations_1,column_16,Corporations_1+column_16,location
Corporations_1,column_18,Corporations_1+column_18,name
Hatred_1,column_0,Hatred_1+column_0,city
Hatred_1,column_10,Hatred_1+column_10,gender
Hatred_1,column_15,Hatred_1+column_15,language
Hatred_1,column_22,Hatred_1+column_22,region
