table,column,dataset_id,predicted_semantic_type
CMSprovider_1,column_6,CMSprovider_1+column_6,description
CMSprovider_2,column_6,CMSprovider_2+column_6,description
CommonGovernment_1,column_14,CommonGovernment_1+column_14,description
CommonGovernment_10,column_14,CommonGovernment_10+column_14,description
CommonGovernment_10,column_44,CommonGovernment_10+column_44,description
CommonGovernment_12,column_14,CommonGovernment_12+column_14,description
CommonGovernment_13,column_14,CommonGovernment_13+column_14,description
CommonGovernment_13,column_44,CommonGovernment_13+column_44,description
CommonGovernment_2,column_14,CommonGovernment_2+column_14,description
CommonGovernment_2,column_44,CommonGovernment_2+column_44,description
CommonGovernment_3,column_14,CommonGovernment_3+column_14,description
CommonGovernment_3,column_44,CommonGovernment_3+column_44,description
CommonGovernment_4,column_14,CommonGovernment_4+column_14,description
CommonGovernment_4,column_44,CommonGovernment_4+column_44,description
CommonGovernment_5,column_14,CommonGovernment_5+column_14,description
CommonGovernment_6,column_14,CommonGovernment_6+column_14,description
CommonGovernment_6,column_44,CommonGovernment_6+column_44,description
CommonGovernment_7,column_14,CommonGovernment_7+column_14,description
CommonGovernment_7,column_44,CommonGovernment_7+column_44,description
CommonGovernment_8,column_44,CommonGovernment_8+column_44,description
CommonGovernment_9,column_44,CommonGovernment_9+column_44,description
Corporations_1,column_17,Corporations_1+column_17,description
HashTags_1,column_48,HashTags_1+column_48,description
Medicare3_1,column_6,Medicare3_1+column_6,description
MLB_2,column_1,MLB_2+column_1,description
MLB_3,column_1,MLB_3+column_1,description
MLB_4,column_1,MLB_4+column_1,description
MLB_5,column_1,MLB_5+column_1,description
MLB_6,column_1,MLB_6+column_1,description
MLB_67,column_1,MLB_67+column_1,description
NYC_1,column_1,NYC_1+column_1,description
NYC_1,column_33,NYC_1+column_33,description
NYC_2,column_1,NYC_2+column_1,description
PanCreactomy1_1,column_6,PanCreactomy1_1+column_6,description
PanCreactomy2_1,column_6,PanCreactomy2_1+column_6,description
PanCreactomy2_2,column_6,PanCreactomy2_2+column_6,description
Romance_1,column_9,Romance_1+column_9,description
TrainsUK1_2,column_23,TrainsUK1_2+column_23,description
TrainsUK1_3,column_23,TrainsUK1_3+column_23,description
TrainsUK1_4,column_23,TrainsUK1_4+column_23,description
