table,column,dataset_id,predicted_semantic_type
CommonGovernment_1,column_22,CommonGovernment_1+column_22,name
CommonGovernment_1,column_28,CommonGovernment_1+column_28,name
CommonGovernment_10,column_22,CommonGovernment_10+column_22,name
CommonGovernment_11,column_3,CommonGovernment_11+column_3,name
CommonGovernment_11,column_22,CommonGovernment_11+column_22,name
CommonGovernment_11,column_28,CommonGovernment_11+column_28,name
CommonGovernment_12,column_3,CommonGovernment_12+column_3,name
CommonGovernment_12,column_22,CommonGovernment_12+column_22,name
CommonGovernment_12,column_28,CommonGovernment_12+column_28,name
CommonGovernment_13,column_3,CommonGovernment_13+column_3,name
CommonGovernment_2,column_3,CommonGovernment_2+column_3,name
CommonGovernment_3,column_28,CommonGovernment_3+column_28,name
CommonGovernment_4,column_3,CommonGovernment_4+column_3,name
CommonGovernment_4,column_22,CommonGovernment_4+column_22,name
CommonGovernment_4,column_28,CommonGovernment_4+column_28,name
CommonGovernment_5,column_22,CommonGovernment_5+column_22,name
CommonGovernment_5,column_28,CommonGovernment_5+column_28,name
CommonGovernment_6,column_22,CommonGovernment_6+column_22,name
CommonGovernment_6,column_28,CommonGovernment_6+column_28,name
CommonGovernment_7,column_3,CommonGovernment_7+column_3,name
CommonGovernment_7,column_22,CommonGovernment_7+column_22,name
CommonGovernment_8,column_3,CommonGovernment_8+column_3,name
CommonGovernment_8,column_22,CommonGovernment_8+column_22,name
CommonGovernment_8,column_28,CommonGovernment_8+column_28,name
CommonGovernment_9,column_3,CommonGovernment_9+column_3,name
CommonGovernment_9,column_28,CommonGovernment_9+column_28,name
NYC_1,column_1,NYC_1+column_1,name
NYC_1,column_33,NYC_1+column_33,name
NYC_2,column_1,NYC_2+column_1,name
NYC_2,column_33,NYC_2+column_33,name
