Feature_group,Metric,Score,Seed
char,macro avg,54.22166441040933,1001
char,weighted avg,41.48825466795515,1001
char,macro avg,51.753468570462815,1002
char,weighted avg,41.8578568950341,1002
char,macro avg,53.714510472583314,1003
char,weighted avg,41.30241916606288,1003
char,macro avg,52.86525808240859,1004
char,weighted avg,41.19615900788007,1004
char,macro avg,52.16030641442393,1005
char,weighted avg,41.185286443236166,1005
rest,macro avg,7.024727600288683,1001
rest,weighted avg,5.629951800689779,1001
rest,macro avg,7.189045310287365,1002
rest,weighted avg,5.605870025712956,1002
rest,macro avg,8.281790853708396,1003
rest,weighted avg,5.907434887184409,1003
rest,macro avg,8.119979767749381,1004
rest,weighted avg,5.662639337512232,1004
rest,macro avg,8.419362844920645,1005
rest,weighted avg,5.82178710681461,1005
par,macro avg,6.216976656657324,1001
par,weighted avg,3.156120227948292,1001
par,macro avg,6.232019440445737,1002
par,weighted avg,3.2040228340062664,1002
par,macro avg,6.054110844330316,1003
par,weighted avg,2.76118586992136,1003
par,macro avg,6.266743511583433,1004
par,weighted avg,3.011663239324835,1004
par,macro avg,6.423776100148536,1005
par,weighted avg,2.9857107671785625,1005
word,macro avg,62.13997245174274,1001
word,weighted avg,46.78941559628888,1001
word,macro avg,61.792340701359464,1002
word,weighted avg,46.38751147977918,1002
word,macro avg,61.63501715573663,1003
word,weighted avg,46.92701751215646,1003
word,macro avg,61.60097449649699,1004
word,weighted avg,46.824475106852404,1004
word,macro avg,59.78829712642539,1005
word,weighted avg,46.68884818772064,1005
