Feature_group,Metric,Score,Seed
char,macro avg,33.71540743979753,1001
char,weighted avg,26.759848573682227,1001
char,macro avg,33.4354436318295,1002
char,weighted avg,26.74574076798252,1002
char,macro avg,36.26989208828253,1003
char,weighted avg,27.11305883002212,1003
char,macro avg,33.023974307579444,1004
char,weighted avg,26.532792054190608,1004
char,macro avg,35.436525788177974,1005
char,weighted avg,26.88028656437745,1005
rest,macro avg,6.114041460653986,1001
rest,weighted avg,3.8822887101366588,1001
rest,macro avg,6.636031768602243,1002
rest,weighted avg,3.63476078074944,1002
rest,macro avg,5.034279970988618,1003
rest,weighted avg,3.690316441318378,1003
rest,macro avg,5.3263167756798495,1004
rest,weighted avg,3.779241397052485,1004
rest,macro avg,6.098329449122375,1005
rest,weighted avg,4.014418902115441,1005
par,macro avg,1.5979564793257628,1001
par,weighted avg,1.6817330994386992,1001
par,macro avg,1.9208889857608331,1002
par,weighted avg,1.7055889412542187,1002
par,macro avg,2.009836550447607,1003
par,weighted avg,1.6751210680455517,1003
par,macro avg,2.9498355994743215,1004
par,weighted avg,1.7052302784415976,1004
par,macro avg,2.1595872634079893,1005
par,weighted avg,1.679292137129043,1005
word,macro avg,36.50054395465629,1001
word,weighted avg,24.993177559598177,1001
word,macro avg,35.43216668563438,1002
word,weighted avg,24.963268429836326,1002
word,macro avg,36.1951454896147,1003
word,weighted avg,25.188592806749625,1003
word,macro avg,33.65026788030153,1004
word,weighted avg,24.88521241442362,1004
word,macro avg,32.8735486126763,1005
word,weighted avg,24.450814720142006,1005
topic,macro avg,35.30866115549244,1001
topic,weighted avg,21.55500064962211,1001
topic,macro avg,35.51572320175042,1002
topic,weighted avg,21.607923396459082,1002
topic,macro avg,35.52377322196267,1003
topic,weighted avg,21.792242390980135,1003
topic,macro avg,35.918504132570476,1004
topic,weighted avg,21.657263823772002,1004
topic,macro avg,34.920772315184934,1005
topic,weighted avg,21.419936525796874,1005
